gene	logFC	fdr	betweenness	source_node_score	step_1	step_2	nbh_score	score
KCNQ1	7.40072531489965	4.17338445408569	356.801066110064	11020.1834097599	3872066.68500819	59375237.5925349	1.30936468490023	37.0027459311848
NME8	8.84495503989635	3.40944815313402	364.333245219645	10986.9847689682	1836600.63059008	60664368.5904728	1.2982210583541	36.8912498534386
FAM131B	4.02326476853196	3.23699878547756	836.560012967677	10894.7746682691	4214127.7117042	67188732.9906882	1.42885270041065	36.5821090438655
ZMYND15	4.86020773445386	2.83955455079911	780.925323309383	10777.4137174062	21607400.1912547	56704281.6733028	1.52710445934226	36.1884199174515
KIAA0040	3.71943080073064	4.14799536607304	698.409250978428	10775.184843117	274099.548841134	9654432.63317295	0.345175016716079	36.1769687368816
TDRD6	7.5069321712998	4.37615787138418	327.90363027984	10772.1327703137	12335352.3865273	64681981.4367981	1.5088882615834	36.1706288979507
KIAA0100	2.42784430282154	3.40973825726894	1300.78431811585	10768.3005139567	1803274.00264144	63555850.2487021	1.34069920469848	36.1571980979413
DOP1B	3.35395569051722	5.02998860991244	632.815335774136	10675.8218455092	2529801.76817128	64885237.9535683	1.37093301368773	35.8468185505721
SLAMF7	6.23788689512215	3.98690215285672	425.844824293351	10590.6946428289	2007291.52188526	48432056.5753011	1.11250233612575	35.5601511306522
GCA	2.40247195773439	3.73157149337487	1169.03704907857	10480.4123181689	9330897.05884482	69752612.9346093	1.53792675524125	35.1913256864413
GAB3	4.16213614329269	3.5387138126118	704.418984965617	10375.1115624025	2595249.23056372	57451265.8039211	1.26130697625697	34.8368680024111
BCL2A1	9.13464394403974	3.90931776830183	289.050618219916	10322.0628666773	2758463.61934787	50556299.1535328	1.15781174057008	34.6584187616356
LPCAT2	3.38321816107939	3.7139578635743	821.386656862655	10320.8298720128	11360578.5468484	67584473.7963905	1.53598753622875	34.6555488558917
ARHGAP45	4.47181729131823	6.00267463606827	380.522111087122	10214.3033650819	20528033.7155495	53597591.7888355	1.46787818965922	34.2976759629481
TMCO3	2.41396580848986	2.90720471769791	1450.99640396379	10182.9371970548	10094695.1891111	69883220.114664	1.55043087065705	34.1926466630021
NDN	11.856564050208	4.75184813960216	180.364604378288	10161.8485547842	4198957.56241397	63178159.6436337	1.37037769221138	34.1212407155416
DENND1C	8.04753467722625	6.7255335152909	187.650204011781	10156.3729216452	3220346.71903195	56355164.9396761	1.25417534468572	34.102467100022
